MON,TUE,WED,THU,FRI,SAT,SUN
Cross,3 m run,5 m run,3 m run,Rest,5 m pace,8
Cross,3 m run,5 m run,3 m run,Rest,5 m run,9
Cross,3 m run,5 m run,3 m run,Rest,5 m pace,6
Cross,3 m run,6 m run,3 m run,Rest,6 m pace,11
Cross,3 m run,6 m run,3 m run,Rest,6 m run,12
Cross,3 m run,5 m run,3 m run,Rest,6 m pace,9
Cross,4 m run,7 m run,4 m run,Rest,7 m pace,14
Cross,4 m run,7 m run,4 m run,Rest,7 m run,15
Cross,4 m run,5 m run,4 m run,Rest,Rest,Half Marathon
Cross,4 m run,8 m run,4 m run,Rest,8 m pace,17
Cross,5 m run,8 m run,5 m run,Rest,8 m run,18
Cross,5 m run,5 m run,5 m run,Rest,8 m pace,13
Cross,5 m run,8 m run,5 m run,Rest,5 m pace,20
Cross,5 m run,5 m run,5 m run,Rest,8 m run,12
Cross,5 m run,8 m run,5 m run,Rest,5 m pace,20
Cross,5 m run,6 m run,5 m run,Rest,4 m pace,12
Cross,4 m run,5 m run,4 m run,Rest,3 m run,8
Cross,3 m run,4 m run,Rest,Rest,2 m run,Marathon
